n_flows,run,ip_acceptance,cspf_acceptance,weighted_acceptance
30,0,1.0,1.0,1.0
30,1,1.0,1.0,0.9666666666666667
30,2,1.0,1.0,1.0
30,3,1.0,1.0,1.0
30,4,1.0,1.0,0.9666666666666667
30,5,1.0,0.9666666666666667,0.9333333333333333
30,6,1.0,1.0,1.0
30,7,1.0,1.0,1.0
30,8,1.0,1.0,1.0
30,9,1.0,1.0,1.0
60,0,1.0,0.9833333333333333,0.9666666666666667
60,1,0.9833333333333333,1.0,0.9833333333333333
60,2,1.0,1.0,1.0
60,3,1.0,0.9833333333333333,0.9666666666666667
60,4,0.9833333333333333,0.9833333333333333,0.95
60,5,1.0,0.9833333333333333,0.95
60,6,1.0,0.9666666666666667,0.9666666666666667
60,7,0.9833333333333333,1.0,0.9833333333333333
60,8,1.0,1.0,0.9833333333333333
60,9,1.0,1.0,1.0
90,0,0.9333333333333333,0.9777777777777777,0.9666666666666667
90,1,0.9333333333333333,1.0,0.9888888888888889
90,2,0.9444444444444444,0.9666666666666667,0.9777777777777777
90,3,0.9777777777777777,0.9888888888888889,0.9777777777777777
90,4,0.9555555555555556,0.9888888888888889,0.9555555555555556
90,5,0.9555555555555556,0.9888888888888889,0.9555555555555556
90,6,0.9777777777777777,0.9555555555555556,0.9333333333333333
90,7,0.9111111111111111,0.9888888888888889,0.9666666666666667
90,8,0.8444444444444444,1.0,0.9888888888888889
90,9,0.9444444444444444,1.0,1.0
